fecha,id_cc,cumincumout,duracionh,salidas
2024-03-01 09:00:00,1,244.98333333333332,11.348051490992669,10
2024-03-01 10:00:00,1,938.4833333333333,28.327368943079417,25
2024-03-01 11:00:00,1,1554.1833333333334,35.07629597984331,38
2024-03-01 12:00:00,1,2259.6833333333334,37.21134003444183,51
2024-03-01 13:00:00,1,2933.4166666666665,40.955258708462196,64
2024-03-01 14:00:00,1,2939.8166666666666,46.062671459398466,65
2024-03-01 15:00:00,1,2870,45.89435633333358,61
2024-03-01 16:00:00,1,2894.85,46.31919914701073,64
2024-03-01 17:00:00,1,3221.8333333333335,44.91209916455758,65
2024-03-01 18:00:00,1,3407.383333333333,46.032502090215466,73
2024-03-01 19:00:00,1,3136.266666666667,48.08602790188829,66
2024-03-01 20:00:00,1,2215.85,51.63159436654825,57
2024-03-01 21:00:00,1,1516,47,39
2024-02-02 09:00:00,1,235.9,13.200412457912456,8
2024-02-02 10:00:00,1,870.0666666666667,31.972081348158337,20
2024-02-02 11:00:00,1,1485.9666666666667,39.72982417890644,30
2024-02-02 12:00:00,1,2122.8333333333335,44.5120198960954,40
2024-02-02 13:00:00,1,2792.016666666667,48.261367621755355,51
2024-02-02 14:00:00,1,3228.883333333333,56.46484026836471,50
2024-02-02 15:00:00,1,3548.633333333333,65.75687463296825,46
2024-02-02 16:00:00,1,3898.35,73.72917377039485,49
2024-02-02 17:00:00,1,4253.783333333334,74.7871961073957,53
2024-02-02 18:00:00,1,4511.85,75.06505124437662,57
2024-02-02 19:00:00,1,4363.75,82.56655050796056,48
2024-02-02 20:00:00,1,3696,97.75964586054728,41
2024-02-02 21:00:00,1,3273,105,23
2024-01-03 09:00:00,1,235.15,14.409459649755702,7
2024-01-03 10:00:00,1,869.5,31.475397359071753,19
2024-01-03 11:00:00,1,1545.65,40.69723471833547,30
2024-01-03 12:00:00,1,2174.266666666667,45.4993757774343,42
2024-01-03 13:00:00,1,2797.6833333333334,47.530886660794664,54
2024-01-03 14:00:00,1,3050.7833333333333,54.504583946960665,48
2024-01-03 15:00:00,1,3334.983333333333,62.47752916567783,48
2024-01-03 16:00:00,1,3716.5333333333333,69.84120868574381,46
2024-01-03 17:00:00,1,4082,74.89562962645131,51
2024-01-03 18:00:00,1,4188.883333333333,78.012636334168,53
2024-01-03 19:00:00,1,3784.6,82.40348536730473,45
2024-01-03 20:00:00,1,3083.633333333333,96.17150001201682,34
2024-01-03 21:00:00,1,2550,104.65333333333334,75
2024-04-03 09:00:00,1,222.36666666666667,10.843165752003985,11
2024-04-03 10:00:00,1,912.7833333333333,26.698589883752085,25
2024-04-03 11:00:00,1,1481.75,35.420876385704354,37
2024-04-03 12:00:00,1,1905.9666666666667,35.218845125593525,50
2024-04-03 13:00:00,1,2359.7833333333333,36.83051235172544,58
2024-04-03 14:00:00,1,2456.616666666667,43.533232210209036,56
2024-04-03 15:00:00,1,2337.0333333333333,44.06762679221577,56
2024-04-03 16:00:00,1,2383.116666666667,46.29432619861009,50
2024-04-03 17:00:00,1,2534.25,44.05827085390761,56
2024-04-03 18:00:00,1,2616.1833333333334,44.35900912550367,58
2024-04-03 19:00:00,1,2319.383333333333,47.972161244761466,52
2024-04-03 20:00:00,1,1497.55,52.89699712763904,36
2024-04-03 21:00:00,1,969,51.18867924528302,53
2024-03-04 09:00:00,1,278.4,11.848756842634888,12
2024-03-04 10:00:00,1,926.35,27.459319803072447,25
2024-03-04 11:00:00,1,1443.7666666666667,33.795263145506176,39
2024-03-04 12:00:00,1,1945.0666666666666,35.61624382872859,47
2024-03-04 13:00:00,1,2338.2833333333333,37.69822337375569,58
2024-03-04 14:00:00,1,2497.3333333333335,45.09250312529917,52
2024-03-04 15:00:00,1,2488.9,47.00027068753414,53
2024-03-04 16:00:00,1,2581.860465116279,47.37983852298022,55
2024-03-04 17:00:00,1,2693.035087719298,61.86854786277827,55
2024-03-04 18:00:00,1,2701.5833333333335,48.32376982754393,55
2024-03-04 19:00:00,1,2320.2166666666667,54.153849493012636,45
2024-03-04 20:00:00,1,1540.15,64.1245886974946,30
2024-03-04 21:00:00,1,1118,66.60714285714286,28
2024-02-05 09:00:00,1,170.28333333333333,11.427863808304982,8
2024-02-05 10:00:00,1,693.25,27.71728873357186,18
2024-02-05 11:00:00,1,1224.7666666666667,37.00319103959553,28
2024-02-05 12:00:00,1,1667.35,39.94426196584643,38
2024-02-05 13:00:00,1,2181.95,41.75152383720762,44
2024-02-05 14:00:00,1,2501.4666666666667,53.217415076193305,40
2024-02-05 15:00:00,1,2658.366666666667,65.08557599689036,37
2024-02-05 16:00:00,1,2755.3166666666666,71.34091414502528,38
2024-02-05 17:00:00,1,2881.1666666666665,68.92010233289584,41
2024-02-05 18:00:00,1,2943.05,70.61108010915736,41
2024-02-05 19:00:00,1,2684.25,73.57068865355949,36
2024-02-05 20:00:00,1,2061.4666666666667,90.19799840959512,23
2024-02-05 21:00:00,1,1730,101.47619047619048,21
2024-01-06 09:00:00,1,260.78333333333336,14.942570749970129,7
2024-01-06 10:00:00,1,1128.0166666666667,35.980447164591105,20
2024-01-06 11:00:00,1,2170.65,45.43161185456096,37
2024-01-06 12:00:00,1,3324.2,48.66625410553862,55
2024-01-06 13:00:00,1,4169.95,54.10616182820918,67
2024-01-06 14:00:00,1,4827,60.74395296402404,70
2024-01-06 15:00:00,1,5279.6949152542375,73.4829609103075,61
2024-01-06 16:00:00,1,5758.066666666667,80.59696792781558,67
2024-01-06 17:00:00,1,6134.233333333334,84.5247782908883,61
